#Index SIT RA DEC z sigma rh_rp rh_rs Mvir_rh R Mvir_rp Mvirl LS rp
1 1 171.31543 -2.07612 0.06287 16.661771827 0.377184289289 0.418880581656 3.44047969739e+11 0.327192099048 2.98447683503e+11 6.19096539006 55572588128.4 0.437023046344
2 1 208.67705 65.24431 0.03578 63.5012014148 0.179142787942 1.0444957726 2.37348368983e+12 0.195772364298 2.59381088639e+12 61.8742493367 38359797739.3 0.29204699345
3 1 211.20346 4.98106 0.04649 66.4670408051 0.11847342081 0.673452077621 1.71971569601e+12 0.138049182281 2.00387009988e+12 60.9000004208 28238352777.2 0.213690279397
4 1 251.4675 44.43748 0.07015 45.8157858952 0.341225219914 0.767615265142 2.35339291893e+12 0.160121553538 1.10434079392e+12 30.5682849487 76988058796.3 0.346132836803
5 1 133.53548 0.49857 0.02821 20.0360363655 0.202704789682 0.614192032389 2.67368766293e+11 0.215223818343 2.83881436041e+11 13.6488742626 19589070948.2 0.287312765263
6 1 207.82367 0.38493 0.02992 28.99711764 0.054619995948 0.130687657533 1.50898305673e+11 0.0919632870207 2.54066371751e+11 5.85826297801 25758199357.0 0.137101135974
7 1 218.9558 62.42113 0.04753 61.6014000926 0.338783158857 1.34285766466 4.22402050808e+12 0.219024163492 2.73083987255e+12 43.301881366 97548198249.6 0.361417118803
8 1 197.6863 0.03209 0.041 33.7700603437 0.373312105137 0.591717262607 1.39881018223e+12 0.326668300235 1.22403463026e+12 52.570154761 26608447104.5 0.440829694825
9 1 320.87643 -7.74597 0.02767 49.5035180536 0.109418405368 0.679986336817 8.81019554751e+11 0.0354135976777 2.85144642285e+11 26.3635757433 33418059952.4 0.125794147985
10 1 22.22406 14.72071 0.03667 83.655756579 0.126058709131 1.70484026804 2.89859512226e+12 0.152083231755 3.49700323587e+12 42.8736135046 67607903447.4 0.231181862928
11 1 127.45965 48.78101 0.02358 14.7545861168 0.118441501862 0.317146001312 84719036446.0 0.0589187407175 42143495850.2 4.0440437697 20949089888.9 0.131987990046
12 1 200.9196 1.36182 0.05677 49.2202916779 0.126701179853 0.895812042637 1.00853753004e+12 0.106740419333 8.49650484661e+11 11.1922631528 90110241000.1 0.142561509007
13 1 232.20929 0.77725 0.03982 9.89263128811 0.296526721928 0.306231416932 95347765715.8 0.230129229527 73997741986.6 1.67557328194 56904563198.6 0.326793830145
14 1 225.27345 0.53047 0.03552 59.9750527984 0.117071870272 1.30493880475 1.38362013452e+12 0.156051381477 1.84430156391e+12 76.3727585534 18116670927.3 0.220246381074
15 1 259.7788 65.73225 0.03567 25.9435099918 0.202964687194 0.539692670274 4.48849751075e+11 0.124149583439 2.7455273325e+11 29.4852251796 15222870042.2 0.226563948087
16 1 192.98346 -2.07756 0.02288 18.5343775737 0.144383717876 0.235079759754 1.62966099702e+11 0.178212395644 2.01148574534e+11 8.57952367654 18994772419.3 0.246715151314
17 1 155.23221 1.23607 0.07091 97.4311188302 0.069621984104 1.96020811275 2.17152490228e+12 0.0651092876115 2.03077291229e+12 36.0011309475 60318241264.3 0.0964754747483
18 1 190.14594 2.46814 0.04575 47.7371629194 0.119639751699 0.659339665954 8.95801430097e+11 0.116321448201 8.70955666238e+11 16.3553679416 54771096149.8 0.160467605979
19 1 211.26212 -0.25141 0.03283 56.8990859777 0.0370328000796 0.791538859242 3.93931009956e+11 0.0627100834173 6.67069366667e+11 29.313849521 13438392309.2 0.0879896293826
20 1 189.95157 -2.79609 0.04794 31.1873348476 0.299804755256 0.532731394534 9.58115976869e+11 0.155719001312 4.97646753242e+11 17.1289240818 55935560943.2 0.302428067229
21 1 231.97763 54.26979 0.03993 19.785262574 0.159281656196 0.401033126189 2.04867203004e+11 0.182728979863 2.35025023636e+11 4.67255522026 43844790130.1 0.260098819208
22 1 134.77396 53.77162 0.00776 22.6117286556 0.215004464432 0.342990460907 3.61191937266e+11 0.100681431606 1.69137517328e+11 47.7772891813 7559908556.05 0.230949483882
23 1 145.60008 63.1653 0.03127 50.0052896241 0.258159438246 0.906912218264 2.12101109472e+12 0.212816374035 1.74847719508e+12 74.365884557 28521291817.5 0.285971475692
24 1 119.1682 44.86981 0.05015 55.079839933 0.12560293822 1.20122074852 1.252011093e+12 0.148144302606 1.47670359353e+12 12.8055616481 97770884823.9 0.197599522732
25 1 134.24171 52.06597 0.01259 56.4586157679 0.155084626886 0.92590225453 1.62424762552e+12 0.042497818341 4.4509234678e+11 76.5475123389 21218816600.2 0.206339774878
26 1 136.14615 52.12041 0.06563 76.719162013 0.323539781931 1.54882369776 6.25688868053e+12 0.171035892125 3.30763818599e+12 58.6314685157 1.06715537559e+11 0.325227110985
27 1 143.98962 54.99336 0.05852 86.0680967175 0.440562359702 1.39133564891 1.07229634815e+13 0.320573028681 7.80251150378e+12 233.00242545 46020823434.8 0.469511061098
28 1 122.38428 39.88793 0.06363 57.5621458518 0.293099427923 1.28025087634 3.19089093939e+12 0.0949887379716 1.03411564289e+12 42.6816544351 74760244925.4 0.331637294745
29 1 162.28116 4.94069 0.05525 77.766350421 0.15574448692 0.306917442765 3.09470429156e+12 0.188484937859 3.7452699458e+12 76.7769293994 40307737178.0 0.268500761665
30 1 348.1218 13.94226 0.03411 31.8212885881 0.0720559002807 0.228384972838 2.39733161124e+11 0.03969853401 1.32078775133e+11 4.39434169015 54554965914.7 0.0764124666355
31 1 143.01884 51.55095 0.03356 36.744059065 0.412350645877 0.667703855943 1.82921173598e+12 0.234787759305 1.04153231983e+12 48.8216971425 37467188628.0 0.417500080155
32 1 138.2593 49.63948 0.01329 20.8182226738 0.166457746489 0.451597430086 2.3703602124e+11 0.0499514077252 71130861688.6 16.3980200345 14455161095.1 0.199760148589
33 1 148.12364 2.15445 0.01665 26.9627679705 0.0772196188603 0.588055782187 1.84450416983e+11 0.078306917445 1.87047589571e+11 7.4297606558 24825889490.7 0.106919209536
34 1 310.09406 -6.35892 0.03591 29.7786679832 0.323173308396 0.675127080437 9.41605655565e+11 0.202381651201 5.89664128822e+11 26.1376972808 36024812953.1 0.398058294509
35 1 188.06636 2.99959 0.04416 57.5274384947 0.0968560336536 1.20817822965 1.0531731845e+12 0.133300337601 1.44945374852e+12 26.855178351 39216763736.7 0.205516010566
36 1 25.88225 13.51376 0.05388 48.8945955174 0.150563417543 0.602832831396 1.18267173709e+12 0.121734303698 9.56219796063e+11 19.688397832 60069475799.0 0.165451405597
37 1 136.81125 2.4427 0.05141 61.2600254094 0.0691088770906 1.35950282054 8.521405272e+11 0.208460216303 2.57039914551e+12 20.4078595629 41755507213.9 0.294803457969
38 1 206.814 62.46961 0.04396 27.2574517824 0.101937714366 0.540347216067 2.48844723021e+11 0.0457874625838 1.11773826943e+11 5.66538955254 43923673864.4 0.112125342179
39 1 323.22287 -7.19673 0.06054 101.349601338 0.163176711914 2.00843037635 5.50712971502e+12 0.147735785787 4.98600643642e+12 57.1391210913 96381071494.3 0.220055183083
40 1 186.86505 3.30211 0.04878 24.5186768821 0.188374289437 0.432591192266 3.72082056388e+11 0.135159990916 2.66971716319e+11 3.60797326486 1.03127719934e+11 0.199160212032
41 1 176.13776 61.53355 0.04799 92.3372337918 0.116887299627 1.58716811953 3.27449313549e+12 0.107746862038 3.01843195317e+12 51.2954548336 63835931392.2 0.15984914435
42 1 174.36235 1.53515 0.04571 54.5332186677 0.154890021421 0.413681380439 1.51345231357e+12 0.134418416583 1.31342136632e+12 29.9301697334 50566111954.8 0.179451439977
43 1 157.97313 62.40112 0.05222 63.8931394739 0.0841074383151 1.04021714354 1.12814754126e+12 0.0188228002523 2.52473458348e+11 18.0150769372 62622410395.2 0.1598772004
44 1 126.86163 41.49458 0.03605 12.9524947705 0.148748879879 0.228741953098 81994287085.9 0.100046413815 55148209404.6 2.65121284443 30927085789.5 0.176949486664
45 1 351.25107 -0.00226 0.03358 51.9447256759 0.0326337740468 0.521531755939 2.89316535062e+11 0.0324365632969 2.87568152213e+11 16.8049391008 17216160875.5 0.0449400079074
